YEAR,MO,DY,HR,ALLSKY_SFC_PAR_TOT,T2M,RH2M,PS,PRECTOTCORR,WS10M
2021,12,31,19,0,8.15,100,100.49,0.01,2.11
2021,12,31,20,0,8.01,100,100.44,0.01,2.14
2021,12,31,21,0,8,100,100.41,0.01,2.1
2021,12,31,22,0,8.03,100,100.41,0.01,2.17
2021,12,31,23,0,8.07,99.81,100.39,0.01,2.27
2022,1,1,0,0,7.99,99.44,100.35,0.01,2.22
2022,1,1,1,0,7.71,99.75,100.34,0.04,2
2022,1,1,2,0,7.39,100,100.32,0.13,1.88
2022,1,1,3,0,7.21,100,100.26,0.07,1.83
2022,1,1,4,0,7.2,100,100.19,0.05,2.02
2022,1,1,5,0,7.38,100,100.16,0.19,2.18
2022,1,1,6,0,7.62,99.69,100.16,0.23,2.5
2022,1,1,7,2.38,8.09,99.06,100.11,0.28,3.14
2022,1,1,8,9.42,8.54,98.31,100.05,0.19,3.29
2022,1,1,9,12.45,9.01,97.5,100.09,0.14,3.21
2022,1,1,10,17.15,9.34,96.88,100.1,0.08,2.88
2022,1,1,11,49.77,9.85,95.5,99.96,0.09,2.65
2022,1,1,12,33.75,10.34,94.81,99.82,0.04,2.48
2022,1,1,13,30.23,10.98,93.69,99.7,0.09,2.29
2022,1,1,14,19.48,10.95,95.25,99.66,0.06,1.86
2022,1,1,15,7.92,9.83,99.31,99.69,0.08,1.55
2022,1,1,16,2.4,9.23,100,99.67,0.29,1.69
2022,1,1,17,0,9.28,100,99.63,0.68,1.58
2022,1,1,18,0,9.16,100,99.62,0.95,1.61
2022,1,1,19,0,9.13,99.69,99.62,1.06,1.54
2022,1,1,20,0,9.08,99.12,99.57,2.06,1.45
2022,1,1,21,0,8.62,100,99.46,3.46,1.9
2022,1,1,22,0,8.65,99.5,99.35,2.83,2.17
2022,1,1,23,0,8.65,98.75,99.29,1.54,2.14
2022,1,2,0,0,8.69,98.19,99.24,0.59,2.27
2022,1,2,1,0,8.55,98.25,99.21,0.18,2.4
2022,1,2,2,0,8.48,98.5,99.14,0.2,2.27
2022,1,2,3,0,8.23,99.25,99.1,0.32,1.9
2022,1,2,4,0,7.98,99.44,99.06,0.2,1.78
